"shots","duration_ms","wall_ms","top"
"64","27.08","119.63","00 33, 11 31"
"128","21.75","35.48","11 68, 00 60"
"512","23.18","37.54","00 257, 11 255"
"2048","20.64","32.48","11 1049, 00 999"
